,Unnamed: 0,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.8794292,0.8482993,0.0648911,0.0038880347,144.0,1,session_E,3,2,001-2014,Cov+EN
1,1,0.87448424,0.8657823,0.061826468,0.003879881,144.0,1,session_T,3,2,001-2014,Cov+EN
2,2,0.87876064,0.85408163,0.013837623,0.0022464753,144.0,1,session_E,3,2,001-2014,CSP+LDA
3,3,0.8735225,0.8564626,0.01439104,0.0023266315,144.0,1,session_T,3,2,001-2014,CSP+LDA
4,4,0.99891835,0.9128571,0.5566498,0.03281512,144.0,1,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,0.97084296,0.9317007,0.26304293,0.015765715,144.0,1,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.96162045,0.8607483,0.07770834,0.008801078,144.0,1,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.9665582,0.8627891,0.06881289,0.008157539,144.0,1,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.92135197,0.9142177,0.12327118,0.015643502,144.0,1,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.9398523,0.9289796,0.06923938,0.009666395,144.0,1,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.8764743,0.8470068,0.07046771,0.004428768,144.0,1,session_E,3,2,001-2014,MDM
11,11,0.8677087,0.8667347,0.07041311,0.0044352054,144.0,1,session_T,3,2,001-2014,MDM
12,12,0.8777312,0.8527891,0.102139756,0.007882166,144.0,1,session_E,3,2,001-2014,FgMDM
13,13,0.8772618,0.8531973,0.096247196,0.007859373,144.0,1,session_T,3,2,001-2014,FgMDM
14,14,0.83075494,0.74537414,0.014251185,0.0022991658,144.0,1,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.83111477,0.7842857,0.02333722,0.0037026405,144.0,1,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.5933444,0.52489793,0.07194185,0.004021025,144.0,2,session_E,3,2,001-2014,Cov+EN
1,1,0.63923585,0.59605443,0.05999565,0.00397563,144.0,2,session_T,3,2,001-2014,Cov+EN
2,2,0.56229633,0.4807483,0.015089226,0.0024826527,144.0,2,session_E,3,2,001-2014,CSP+LDA
3,3,0.64307004,0.54557824,0.014987087,0.0024534226,144.0,2,session_T,3,2,001-2014,CSP+LDA
4,4,0.8138411,0.6742857,0.27285552,0.020913934,144.0,2,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,0.871885,0.7188435,0.2305285,0.014970064,144.0,2,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.8503233,0.64761907,0.62337625,0.049282264,144.0,2,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.80475414,0.6839456,0.6180364,0.05479498,144.0,2,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.5900828,0.5964626,0.06804824,0.009190559,144.0,2,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.77991116,0.6814966,0.3115732,0.03898692,144.0,2,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.558774,0.5497959,0.07892623,0.004594994,144.0,2,session_E,3,2,001-2014,MDM
11,11,0.6341834,0.5430612,0.07201934,0.0047064302,144.0,2,session_T,3,2,001-2014,MDM
12,12,0.6177055,0.53183675,0.1089922,0.008136511,144.0,2,session_E,3,2,001-2014,FgMDM
13,13,0.6522613,0.5641497,0.096385956,0.008057403,144.0,2,session_T,3,2,001-2014,FgMDM
14,14,0.5591954,0.56081635,0.014054346,0.0022789477,144.0,2,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.619559,0.5594558,0.024928188,0.0039570807,144.0,2,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.9788629,0.97333336,0.06826711,0.0041789054,144.0,3,session_E,3,2,001-2014,Cov+EN
1,1,0.9813787,0.98156464,0.07075815,0.0044779303,144.0,3,session_T,3,2,001-2014,Cov+EN
2,2,0.9765077,0.97333336,0.015226746,0.002502346,144.0,3,session_E,3,2,001-2014,CSP+LDA
3,3,0.9775862,0.97789115,0.016772509,0.0027358532,144.0,3,session_T,3,2,001-2014,CSP+LDA
4,4,1.0,1.0,0.5296315,0.030687522,144.0,3,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,1.0,0.9883673,0.460805,0.028624153,144.0,3,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,1.0,0.9771429,0.16327429,0.010725546,144.0,3,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.9975885,0.99333334,0.15020505,0.011766386,144.0,3,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.9929001,0.992381,0.16432409,0.019897366,144.0,3,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.9880677,0.98938775,0.112831734,0.015175676,144.0,3,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.9763314,0.97238094,0.07475805,0.0047572134,144.0,3,session_E,3,2,001-2014,MDM
11,11,0.9743236,0.9691837,0.07662721,0.0051319124,144.0,3,session_T,3,2,001-2014,MDM
12,12,0.9795836,0.9714286,0.10696211,0.008478689,144.0,3,session_E,3,2,001-2014,FgMDM
13,13,0.9769197,0.9693197,0.10979362,0.008943987,144.0,3,session_T,3,2,001-2014,FgMDM
14,14,0.9477001,0.9404082,0.017597198,0.002799177,144.0,3,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.94962764,0.9363946,0.023897171,0.0038645745,144.0,3,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.755357,0.742449,0.08556409,0.006112051,144.0,4,session_E,3,2,001-2014,Cov+EN
1,1,0.7782381,0.7478231,0.086524054,0.0058743,144.0,4,session_T,3,2,001-2014,Cov+EN
2,2,0.7437418,0.7209524,0.026152944,0.0042256834,144.0,4,session_E,3,2,001-2014,CSP+LDA
3,3,0.76847947,0.7347619,0.025888633,0.004105234,144.0,4,session_T,3,2,001-2014,CSP+LDA
4,4,0.9983134,0.7961905,0.27454004,0.015296889,144.0,4,session_E,3,2,001-2014,AUG+TGSP+SVM
