,Unnamed: 0,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.8794292,0.8482993,0.13461399,0.007176161,144.0,1,session_E,3,2,001-2014,Cov+EN
1,1,0.87448424,0.8657823,0.12634325,0.0071481704,144.0,1,session_T,3,2,001-2014,Cov+EN
2,2,0.87876064,0.85408163,0.027165318,0.004175186,144.0,1,session_E,3,2,001-2014,CSP+LDA
3,3,0.8735225,0.8564626,0.026882505,0.0041481494,144.0,1,session_T,3,2,001-2014,CSP+LDA
4,4,0.99891835,0.9128571,0.77900517,0.037371445,144.0,1,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,0.97084296,0.9317007,0.2371327,0.012484741,144.0,1,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.9170651,0.8428571,0.063885115,0.008040142,144.0,1,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.9288587,0.86170065,0.06514273,0.007948065,144.0,1,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.92135197,0.9142177,0.14335255,0.018322658,144.0,1,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.9398523,0.9289796,0.049763776,0.0068291663,144.0,1,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.8764743,0.8470068,0.13283296,0.008703852,144.0,1,session_E,3,2,001-2014,MDM
11,11,0.8677087,0.8667347,0.12686196,0.00843091,144.0,1,session_T,3,2,001-2014,MDM
12,12,0.8777312,0.8527891,0.21239352,0.016109848,144.0,1,session_E,3,2,001-2014,FgMDM
13,13,0.8772618,0.8531973,0.20447001,0.016016483,144.0,1,session_T,3,2,001-2014,FgMDM
14,14,0.83075494,0.74537414,0.025820542,0.003996563,144.0,1,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.83111477,0.7842857,0.029374361,0.004617214,144.0,1,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.5932839,0.52489793,0.1463348,0.0071623325,144.0,2,session_E,3,2,001-2014,Cov+EN
1,1,0.63929534,0.59605443,0.12137856,0.007120657,144.0,2,session_T,3,2,001-2014,Cov+EN
2,2,0.56229633,0.4807483,0.027163267,0.00418005,144.0,2,session_E,3,2,001-2014,CSP+LDA
3,3,0.64307004,0.54557824,0.02704978,0.004154682,144.0,2,session_T,3,2,001-2014,CSP+LDA
4,4,0.8138411,0.6742857,0.21993414,0.01106863,144.0,2,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,0.871885,0.7188435,0.2321703,0.012514735,144.0,2,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.65709996,0.61482996,0.081630945,0.009129095,144.0,2,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.7945418,0.65755105,0.12062798,0.013172388,144.0,2,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.5900828,0.5964626,0.05043311,0.0070355413,144.0,2,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.77991116,0.6814966,0.123239085,0.015666962,144.0,2,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.558774,0.5497959,0.14318904,0.008312034,144.0,2,session_E,3,2,001-2014,MDM
11,11,0.6341834,0.5430612,0.12512131,0.008387566,144.0,2,session_T,3,2,001-2014,MDM
12,12,0.6177055,0.53183675,0.22532602,0.016172696,144.0,2,session_E,3,2,001-2014,FgMDM
13,13,0.6522613,0.5641497,0.20032707,0.016051674,144.0,2,session_T,3,2,001-2014,FgMDM
14,14,0.5591954,0.56081635,0.025888348,0.004014969,144.0,2,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.619559,0.5594558,0.025509452,0.003973341,144.0,2,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.9788629,0.97333336,0.06984983,0.0043937205,144.0,3,session_E,3,2,001-2014,Cov+EN
1,1,0.9813787,0.98156464,0.07099857,0.0044604777,144.0,3,session_T,3,2,001-2014,Cov+EN
2,2,0.9765077,0.97333336,0.01621995,0.0026799678,144.0,3,session_E,3,2,001-2014,CSP+LDA
3,3,0.9775862,0.97789115,0.01673994,0.002791214,144.0,3,session_T,3,2,001-2014,CSP+LDA
4,4,1.0,1.0,0.58438826,0.03508625,144.0,3,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,1.0,0.9883673,0.503158,0.03139305,144.0,3,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.9835712,0.9657143,0.054234408,0.006705475,144.0,3,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.99571836,0.9923129,0.081543684,0.009482527,144.0,3,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.9929001,0.992381,0.18238707,0.022776127,144.0,3,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.9880677,0.98938775,0.119177245,0.01572051,144.0,3,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.9763314,0.97238094,0.076032594,0.005137396,144.0,3,session_E,3,2,001-2014,MDM
11,11,0.9743236,0.9691837,0.07910518,0.0053454875,144.0,3,session_T,3,2,001-2014,MDM
12,12,0.9795836,0.9714286,0.10981102,0.008918047,144.0,3,session_E,3,2,001-2014,FgMDM
13,13,0.9769197,0.9693197,0.11015315,0.008814955,144.0,3,session_T,3,2,001-2014,FgMDM
14,14,0.9477001,0.9404082,0.0148447035,0.0024038316,144.0,3,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.94962764,0.9363946,0.027213812,0.0043517114,144.0,3,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.755357,0.742449,0.1380229,0.007568455,144.0,4,session_E,3,2,001-2014,Cov+EN
1,1,0.7782381,0.7478231,0.1361928,0.0072571756,144.0,4,session_T,3,2,001-2014,Cov+EN
2,2,0.7437418,0.7209524,0.027652359,0.0042680264,144.0,4,session_E,3,2,001-2014,CSP+LDA
3,3,0.76847947,0.7347619,0.027578782,0.0042547225,144.0,4,session_T,3,2,001-2014,CSP+LDA
4,4,0.9983134,0.7961905,0.20954661,0.011724139,144.0,4,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,0.94064605,0.8414966,0.3194374,0.016643237,144.0,4,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.8222855,0.72394556,0.08269,0.009137774,144.0,4,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.8397209,0.7536054,0.06455698,0.008064365,144.0,4,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.75497943,0.74510205,0.03514614,0.0051596165,144.0,4,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.74043953,0.7560544,0.088589095,0.011623764,144.0,4,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.72751737,0.7208844,0.1230711,0.008653593,144.0,4,session_E,3,2,001-2014,MDM
11,11,0.75509626,0.7312245,0.13532981,0.008816004,144.0,4,session_T,3,2,001-2014,MDM
12,12,0.76913655,0.74707484,0.2137587,0.016462231,144.0,4,session_E,3,2,001-2014,FgMDM
13,13,0.7799372,0.74482995,0.21588358,0.016448831,144.0,4,session_T,3,2,001-2014,FgMDM
14,14,0.7201483,0.6879592,0.02640543,0.004079008,144.0,4,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.7415389,0.67925173,0.025983954,0.0040736673,144.0,4,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.65540814,0.62680274,0.0771111,0.0051196096,144.0,5,session_E,3,2,001-2014,Cov+EN
1,1,0.6378465,0.5907483,0.07668152,0.0049986364,144.0,5,session_T,3,2,001-2014,Cov+EN
2,2,0.6541304,0.6182993,0.019173145,0.0031579018,144.0,5,session_E,3,2,001-2014,CSP+LDA
3,3,0.6285051,0.61190474,0.0195395,0.003145647,144.0,5,session_T,3,2,001-2014,CSP+LDA
4,4,0.9383044,0.8123129,0.56784225,0.04660964,144.0,5,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,0.9993992,0.88462585,0.59921825,0.05174012,144.0,5,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.58535266,0.5735374,0.022492457,0.0036719323,144.0,5,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.832986,0.6610884,0.091995716,0.010758591,144.0,5,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.75682455,0.7558503,0.4252225,0.05490408,144.0,5,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.91532844,0.8707483,0.3477146,0.045447446,144.0,5,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.645129,0.59911567,0.08325014,0.005836868,144.0,5,session_E,3,2,001-2014,MDM
11,11,0.6048491,0.57510203,0.08247495,0.0057128905,144.0,5,session_T,3,2,001-2014,MDM
12,12,0.6605774,0.6180952,0.11924195,0.009809685,144.0,5,session_E,3,2,001-2014,FgMDM
13,13,0.6436031,0.5910884,0.11860309,0.009691763,144.0,5,session_T,3,2,001-2014,FgMDM
14,14,0.58535266,0.5735374,0.020110846,0.0031880855,144.0,5,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.6235413,0.5252381,0.030529642,0.0049521923,144.0,5,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.70045894,0.6321769,0.07574706,0.0049674986,144.0,6,session_E,3,2,001-2014,Cov+EN
1,1,0.74954003,0.7235374,0.07662988,0.005094004,144.0,6,session_T,3,2,001-2014,Cov+EN
2,2,0.6971786,0.63040817,0.019649744,0.0032066344,144.0,6,session_E,3,2,001-2014,CSP+LDA
3,3,0.7433715,0.68544215,0.020012904,0.00326643,144.0,6,session_T,3,2,001-2014,CSP+LDA
4,4,0.9508616,0.71795917,0.5079681,0.046558,144.0,6,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,0.90987754,0.78136057,0.49528843,0.044332407,144.0,6,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.7002107,0.6177551,0.08563676,0.012748766,144.0,6,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.8751424,0.749932,0.09138532,0.010499334,144.0,6,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.760979,0.6642857,0.32042336,0.042176247,144.0,6,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.77028704,0.7406803,0.16326933,0.021538353,144.0,6,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.6871842,0.5857143,0.074789286,0.0054434775,144.0,6,session_E,3,2,001-2014,MDM
11,11,0.71262383,0.70292515,0.07500019,0.005520201,144.0,6,session_T,3,2,001-2014,MDM
12,12,0.7003296,0.63462585,0.11792183,0.009770775,144.0,6,session_E,3,2,001-2014,FgMDM
13,13,0.743457,0.71789116,0.11841898,0.009868145,144.0,6,session_T,3,2,001-2014,FgMDM
14,14,0.6622932,0.58646256,0.021863604,0.0035004616,144.0,6,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.7472276,0.7112925,0.026209736,0.0039124014,144.0,6,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.74478275,0.7191157,0.07853641,0.006020737,144.0,7,session_E,3,2,001-2014,Cov+EN
1,1,0.78700376,0.7560544,0.07855582,0.006023073,144.0,7,session_T,3,2,001-2014,Cov+EN
2,2,0.7449747,0.6797959,0.026356746,0.0040818215,144.0,7,session_E,3,2,001-2014,CSP+LDA
3,3,0.7665676,0.7507483,0.027508974,0.0042673587,144.0,7,session_T,3,2,001-2014,CSP+LDA
4,4,0.9499823,0.85387754,0.28005117,0.014505625,144.0,7,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,1.0,0.82462585,0.7162294,0.037489366,144.0,7,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.91428125,0.7637415,0.107225515,0.011986256,144.0,7,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.84725475,0.7914966,0.079297446,0.010038996,144.0,7,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.82593715,0.7906803,0.047220327,0.0071186065,144.0,7,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.79650897,0.76408166,0.13556914,0.018047094,144.0,7,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.7318001,0.6614966,0.0847158,0.0066843033,144.0,7,session_E,3,2,001-2014,MDM
11,11,0.74183613,0.7089796,0.08462133,0.0068191052,144.0,7,session_T,3,2,001-2014,MDM
12,12,0.74842083,0.66176873,0.123147964,0.010834408,144.0,7,session_E,3,2,001-2014,FgMDM
13,13,0.78795505,0.75510204,0.12591605,0.011022711,144.0,7,session_T,3,2,001-2014,FgMDM
14,14,0.7179517,0.6339456,0.026711892,0.0040683746,144.0,7,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.72159916,0.69061226,0.034046076,0.005164766,144.0,7,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.9472558,0.937551,0.085474394,0.005995989,144.0,8,session_E,3,2,001-2014,Cov+EN
1,1,0.9510378,0.9423129,0.10226937,0.00686779,144.0,8,session_T,3,2,001-2014,Cov+EN
2,2,0.9423149,0.9337415,0.028575087,0.004524946,144.0,8,session_E,3,2,001-2014,CSP+LDA
3,3,0.94905084,0.9442177,0.02970767,0.0046255114,144.0,8,session_T,3,2,001-2014,CSP+LDA
4,4,1.0,0.9497959,3.77931,0.05665636,144.0,8,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,1.0,0.95462584,0.95654476,0.048878096,144.0,8,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.9600851,0.9497959,0.056078244,0.0077702045,144.0,8,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.94686985,0.9243537,0.06002345,0.0077190874,144.0,8,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.9523875,0.9480272,0.089421794,0.012002897,144.0,8,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.96074325,0.9516327,0.044151973,0.0065648556,144.0,8,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.9341709,0.9261224,0.087351896,0.0064090253,144.0,8,session_E,3,2,001-2014,MDM
11,11,0.92863965,0.9259864,0.086204335,0.0063884733,144.0,8,session_T,3,2,001-2014,MDM
12,12,0.9499666,0.9346939,0.13035002,0.010879469,144.0,8,session_E,3,2,001-2014,FgMDM
13,13,0.95278597,0.9452381,0.15503888,0.012753392,144.0,8,session_T,3,2,001-2014,FgMDM
14,14,0.9349626,0.9185034,0.029883336,0.0045313835,144.0,8,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.8978847,0.8655102,0.03222108,0.0048307898,144.0,8,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.9572647,0.9489796,0.091455504,0.0057803155,144.0,9,session_E,3,2,001-2014,Cov+EN
1,1,0.84824353,0.8287755,0.0917747,0.0059658526,144.0,9,session_T,3,2,001-2014,Cov+EN
2,2,0.9531677,0.9452381,0.025987387,0.004019022,144.0,9,session_E,3,2,001-2014,CSP+LDA
3,3,0.8436615,0.8414966,0.02651701,0.0041544437,144.0,9,session_T,3,2,001-2014,CSP+LDA
4,4,1.0,0.97795916,0.8917644,0.044939518,144.0,9,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,1.0,0.91414964,0.94737977,0.049371194,144.0,9,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.9766204,0.95217687,0.10624409,0.012287283,144.0,9,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.9093623,0.8547619,0.09470944,0.011614037,144.0,9,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.9626416,0.96659863,0.13306923,0.017317962,144.0,9,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.8984782,0.86693877,0.20044914,0.024127817,144.0,9,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.93752944,0.93482995,0.09350629,0.006371641,144.0,9,session_E,3,2,001-2014,MDM
11,11,0.77270585,0.7615646,0.09262743,0.006466913,144.0,9,session_T,3,2,001-2014,MDM
12,12,0.9584736,0.95088434,0.15458079,0.011746216,144.0,9,session_E,3,2,001-2014,FgMDM
13,13,0.8489559,0.8289796,0.13591734,0.010820722,144.0,9,session_T,3,2,001-2014,FgMDM
14,14,0.95239794,0.9415646,0.026206732,0.003999567,144.0,9,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.84055114,0.8371429,0.03158927,0.0048424723,144.0,9,session_T,3,2,001-2014,Vectorize+LDA
