,Unnamed: 0,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
2,2,0.99560463,0.9752381,0.38234535,0.015431118,144.0,1,session_E,22,2,001-2014,Cov+EN
3,3,0.99885577,0.982517,0.37085634,0.014938784,144.0,1,session_T,22,2,001-2014,Cov+EN
4,4,0.9777708,0.97605443,0.07409187,0.009419108,144.0,1,session_E,22,2,001-2014,CSP+LDA
5,5,0.96931183,0.95829934,0.05928402,0.008174563,144.0,1,session_T,22,2,001-2014,CSP+LDA
6,6,1.0,0.99333334,14.803663,0.5382291,144.0,1,session_E,22,2,001-2014,ACM+TGSP+SVM
7,7,1.0,0.98755103,0.8643662,0.036889695,144.0,1,session_T,22,2,001-2014,ACM+TGSP+SVM
8,8,1.0,0.9597279,0.50875956,0.030932713,144.0,1,session_E,22,2,001-2014,FgMDM
9,9,1.0,0.95482993,0.5193261,0.031672336,144.0,1,session_T,22,2,001-2014,FgMDM
2,2,0.9994555,0.749932,0.39912257,0.015378761,144.0,2,session_E,22,2,001-2014,Cov+EN
3,3,0.9975812,0.6935374,0.38029093,0.015612697,144.0,2,session_T,22,2,001-2014,Cov+EN
4,4,0.872224,0.6660544,0.06579399,0.008704757,144.0,2,session_E,22,2,001-2014,CSP+LDA
5,5,0.7101873,0.6880272,0.059586048,0.008233691,144.0,2,session_T,22,2,001-2014,CSP+LDA
6,6,1.0,0.83061224,1.3603117,0.060411118,144.0,2,session_E,22,2,001-2014,ACM+TGSP+SVM
7,7,1.0,0.74367344,1.3201572,0.0559484,144.0,2,session_T,22,2,001-2014,ACM+TGSP+SVM
8,8,1.0,0.76278913,0.52525014,0.031802844,144.0,2,session_E,22,2,001-2014,FgMDM
9,9,0.9981246,0.69687074,0.52565616,0.031813145,144.0,2,session_T,22,2,001-2014,FgMDM
2,2,1.0,0.99714285,0.39669833,0.015438986,144.0,3,session_E,22,2,001-2014,Cov+EN
3,3,1.0,0.99523807,0.36987352,0.015089368,144.0,3,session_T,22,2,001-2014,Cov+EN
4,4,0.99837285,0.99523807,0.065872,0.008777809,144.0,3,session_E,22,2,001-2014,CSP+LDA
5,5,0.99668837,0.9961905,0.06040535,0.008326912,144.0,3,session_T,22,2,001-2014,CSP+LDA
6,6,1.0,1.0,2.0747173,0.08519955,144.0,3,session_E,22,2,001-2014,ACM+TGSP+SVM
7,7,1.0,0.99904764,14.496041,0.6149899,144.0,3,session_T,22,2,001-2014,ACM+TGSP+SVM
8,8,1.0,0.99714285,0.514739,0.03149085,144.0,3,session_E,22,2,001-2014,FgMDM
9,9,1.0,0.99904764,0.51335365,0.03126316,144.0,3,session_T,22,2,001-2014,FgMDM
2,2,1.0,0.89863944,0.3561613,0.015553093,144.0,4,session_E,22,2,001-2014,Cov+EN
3,3,0.9993982,0.80163264,0.3983798,0.015663385,144.0,4,session_T,22,2,001-2014,Cov+EN
4,4,0.9780274,0.89040816,0.066065505,0.0086091515,144.0,4,session_E,22,2,001-2014,CSP+LDA
5,5,0.9280556,0.8279592,0.06305547,0.008485031,144.0,4,session_T,22,2,001-2014,CSP+LDA
6,6,1.0,0.9668707,1.4293575,0.061983775,144.0,4,session_E,22,2,001-2014,ACM+TGSP+SVM
7,7,1.0,0.90414965,5.491917,0.18727756,144.0,4,session_T,22,2,001-2014,ACM+TGSP+SVM
8,8,0.999879,0.9091157,0.50347275,0.03191352,144.0,4,session_E,22,2,001-2014,FgMDM
9,9,0.9991009,0.8180272,0.52899826,0.032055855,144.0,4,session_T,22,2,001-2014,FgMDM
2,2,0.9969272,0.73156464,0.3934411,0.015835285,144.0,5,session_E,22,2,001-2014,Cov+EN
3,3,0.96681374,0.7182993,0.3732465,0.015686989,144.0,5,session_T,22,2,001-2014,Cov+EN
4,4,0.91104263,0.6780952,0.06566472,0.008696938,144.0,5,session_E,22,2,001-2014,CSP+LDA
5,5,0.91509587,0.6427891,0.080363035,0.009592295,144.0,5,session_T,22,2,001-2014,CSP+LDA
6,6,1.0,0.97782314,13.094249,0.15519042,144.0,5,session_E,22,2,001-2014,ACM+TGSP+SVM
7,7,1.0,0.97408164,12.934633,0.13286677,144.0,5,session_T,22,2,001-2014,ACM+TGSP+SVM
8,8,1.0,0.7504082,0.53231925,0.0324656,144.0,5,session_E,22,2,001-2014,FgMDM
9,9,0.9976417,0.6394558,0.50967807,0.03238964,144.0,5,session_T,22,2,001-2014,FgMDM
2,2,1.0,0.80659866,0.41087413,0.015377236,144.0,6,session_E,22,2,001-2014,Cov+EN
3,3,0.9999406,0.84578234,0.3800931,0.015031052,144.0,6,session_T,22,2,001-2014,Cov+EN
4,4,0.90937376,0.75278914,0.06355324,0.00842247,144.0,6,session_E,22,2,001-2014,CSP+LDA
