,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,AUG+CSP+LDA,AUG+CSP+LDA,0.001953125,0.0,9
1,001-2014,1,AUG+TGSP+SVM,AUG+CSP+LDA,0.001953125,1.3484352035529197,9
2,001-2014,2,AUG+Vectorize+LDA,AUG+CSP+LDA,0.74609375,-0.24547808573282404,9
3,001-2014,3,CSP+LDA,AUG+CSP+LDA,0.998046875,-1.0199723047191154,9
4,001-2014,4,Cov+EN,AUG+CSP+LDA,0.998046875,-0.8361384922120589,9
5,001-2014,5,FgMDM,AUG+CSP+LDA,0.998046875,-0.914559578502136,9
6,001-2014,6,MDM,AUG+CSP+LDA,0.998046875,-1.1770180491191573,9
7,001-2014,7,Vectorize+LDA,AUG+CSP+LDA,0.998046875,-1.319393463017797,9
8,001-2014,8,AUG+CSP+LDA,AUG+TGSP+SVM,0.998046875,-1.3484352035529197,9
9,001-2014,9,AUG+TGSP+SVM,AUG+TGSP+SVM,0.001953125,0.0,9
10,001-2014,10,AUG+Vectorize+LDA,AUG+TGSP+SVM,0.998046875,-1.2491720859739317,9
11,001-2014,11,CSP+LDA,AUG+TGSP+SVM,0.998046875,-1.3587282742543567,9
12,001-2014,12,Cov+EN,AUG+TGSP+SVM,0.998046875,-1.2747902835589817,9
13,001-2014,13,FgMDM,AUG+TGSP+SVM,0.998046875,-1.3154044205796898,9
14,001-2014,14,MDM,AUG+TGSP+SVM,0.998046875,-1.5048882054259347,9
15,001-2014,15,Vectorize+LDA,AUG+TGSP+SVM,0.998046875,-1.715925053305442,9
16,001-2014,16,AUG+CSP+LDA,AUG+Vectorize+LDA,0.255859375,0.24547808573282404,9
17,001-2014,17,AUG+TGSP+SVM,AUG+Vectorize+LDA,0.001953125,1.2491720859739317,9
18,001-2014,18,AUG+Vectorize+LDA,AUG+Vectorize+LDA,0.001953125,0.0,9
19,001-2014,19,CSP+LDA,AUG+Vectorize+LDA,0.998046875,-1.021469268799654,9
20,001-2014,20,Cov+EN,AUG+Vectorize+LDA,0.998046875,-0.9979017371086434,9
21,001-2014,21,FgMDM,AUG+Vectorize+LDA,0.998046875,-1.0402168379641592,9
22,001-2014,22,MDM,AUG+Vectorize+LDA,0.998046875,-1.3087585460084694,9
23,001-2014,23,Vectorize+LDA,AUG+Vectorize+LDA,0.998046875,-1.9235490351549531,9
24,001-2014,24,AUG+CSP+LDA,CSP+LDA,0.001953125,1.0199723047191154,9
25,001-2014,25,AUG+TGSP+SVM,CSP+LDA,0.001953125,1.3587282742543567,9
26,001-2014,26,AUG+Vectorize+LDA,CSP+LDA,0.00390625,1.021469268799654,9
