,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,ACM+TGSP+SVM,ACM+TGSP+SVM,0.001953125,0.0,9
1,001-2014,1,ACM+TGSP+SVM(3 elect),ACM+TGSP+SVM,0.998046875,-1.6195409222054045,9
2,001-2014,2,CSP+LDA,ACM+TGSP+SVM,0.998046875,-0.9173075277172038,9
3,001-2014,3,CSP+LDA(3 elect),ACM+TGSP+SVM,0.998046875,-1.5904158082949558,9
4,001-2014,4,Cov+EN,ACM+TGSP+SVM,0.998046875,-0.8022429318806059,9
5,001-2014,5,Cov+EN(3 elect),ACM+TGSP+SVM,0.998046875,-1.5750272077101137,9
6,001-2014,6,FgMDM,ACM+TGSP+SVM,0.998046875,-0.8229858126278373,9
7,001-2014,7,FgMDM(3 elect),ACM+TGSP+SVM,0.998046875,-1.5813393342482382,9
8,001-2014,8,ACM+TGSP+SVM,ACM+TGSP+SVM(3 elect),0.001953125,1.6195409222054045,9
9,001-2014,9,ACM+TGSP+SVM(3 elect),ACM+TGSP+SVM(3 elect),0.001953125,0.0,9
10,001-2014,10,CSP+LDA,ACM+TGSP+SVM(3 elect),0.5390625,-0.06142264177629892,9
11,001-2014,11,CSP+LDA(3 elect),ACM+TGSP+SVM(3 elect),0.998046875,-1.3587282742543567,9
12,001-2014,12,Cov+EN,ACM+TGSP+SVM(3 elect),0.17578125,0.3322971307354473,9
13,001-2014,13,Cov+EN(3 elect),ACM+TGSP+SVM(3 elect),0.998046875,-1.2747902835589817,9
14,001-2014,14,FgMDM,ACM+TGSP+SVM(3 elect),0.302734375,0.19671457906171358,9
15,001-2014,15,FgMDM(3 elect),ACM+TGSP+SVM(3 elect),0.998046875,-1.3154044205796898,9
16,001-2014,16,ACM+TGSP+SVM,CSP+LDA,0.001953125,0.9173075277172038,9
17,001-2014,17,ACM+TGSP+SVM(3 elect),CSP+LDA,0.462890625,0.06142264177629892,9
18,001-2014,18,CSP+LDA,CSP+LDA,0.001953125,0.0,9
19,001-2014,19,CSP+LDA(3 elect),CSP+LDA,0.998046875,-1.4920651684714388,9
20,001-2014,20,Cov+EN,CSP+LDA,0.009765625,0.9344277489684903,9
21,001-2014,21,Cov+EN(3 elect),CSP+LDA,0.998046875,-1.6447269577323647,9
22,001-2014,22,FgMDM,CSP+LDA,0.048828125,0.6621614983666918,9
23,001-2014,23,FgMDM(3 elect),CSP+LDA,0.998046875,-1.5580747337841148,9
24,001-2014,24,ACM+TGSP+SVM,CSP+LDA(3 elect),0.001953125,1.5904158082949558,9
25,001-2014,25,ACM+TGSP+SVM(3 elect),CSP+LDA(3 elect),0.001953125,1.3587282742543567,9
26,001-2014,26,CSP+LDA,CSP+LDA(3 elect),0.001953125,1.4920651684714388,9
27,001-2014,27,CSP+LDA(3 elect),CSP+LDA(3 elect),0.001953125,0.0,9
28,001-2014,28,Cov+EN,CSP+LDA(3 elect),0.001953125,1.6746477607584853,9
29,001-2014,29,Cov+EN(3 elect),CSP+LDA(3 elect),0.046875,0.6484849660055738,9
30,001-2014,30,FgMDM,CSP+LDA(3 elect),0.001953125,1.6480666663622903,9
31,001-2014,31,FgMDM(3 elect),CSP+LDA(3 elect),0.19140625,0.3198252017717149,9
32,001-2014,32,ACM+TGSP+SVM,Cov+EN,0.001953125,0.8022429318806059,9
33,001-2014,33,ACM+TGSP+SVM(3 elect),Cov+EN,0.826171875,-0.3322971307354473,9
34,001-2014,34,CSP+LDA,Cov+EN,0.9921875,-0.9344277489684903,9
35,001-2014,35,CSP+LDA(3 elect),Cov+EN,0.998046875,-1.6746477607584853,9
36,001-2014,36,Cov+EN,Cov+EN,0.001953125,0.0,9
37,001-2014,37,Cov+EN(3 elect),Cov+EN,0.998046875,-1.8421469557907921,9
38,001-2014,38,FgMDM,Cov+EN,0.890625,-0.4407806479800567,9
39,001-2014,39,FgMDM(3 elect),Cov+EN,0.998046875,-1.7515406938844125,9
40,001-2014,40,ACM+TGSP+SVM,Cov+EN(3 elect),0.001953125,1.5750272077101137,9
41,001-2014,41,ACM+TGSP+SVM(3 elect),Cov+EN(3 elect),0.001953125,1.2747902835589817,9
42,001-2014,42,CSP+LDA,Cov+EN(3 elect),0.001953125,1.6447269577323647,9
43,001-2014,43,CSP+LDA(3 elect),Cov+EN(3 elect),0.955078125,-0.6484849660055738,9
44,001-2014,44,Cov+EN,Cov+EN(3 elect),0.001953125,1.8421469557907921,9
45,001-2014,45,Cov+EN(3 elect),Cov+EN(3 elect),0.001953125,0.0,9
46,001-2014,46,FgMDM,Cov+EN(3 elect),0.001953125,1.9015378825178821,9
47,001-2014,47,FgMDM(3 elect),Cov+EN(3 elect),0.982421875,-0.6553986959210933,9
48,001-2014,48,ACM+TGSP+SVM,FgMDM,0.001953125,0.8229858126278373,9
49,001-2014,49,ACM+TGSP+SVM(3 elect),FgMDM,0.69921875,-0.19671457906171358,9
50,001-2014,50,CSP+LDA,FgMDM,0.953125,-0.6621614983666918,9
51,001-2014,51,CSP+LDA(3 elect),FgMDM,0.998046875,-1.6480666663622903,9
52,001-2014,52,Cov+EN,FgMDM,0.111328125,0.4407806479800567,9
53,001-2014,53,Cov+EN(3 elect),FgMDM,0.998046875,-1.9015378825178821,9
54,001-2014,54,FgMDM,FgMDM,0.001953125,0.0,9
55,001-2014,55,FgMDM(3 elect),FgMDM,0.998046875,-1.8284410078696394,9
56,001-2014,56,ACM+TGSP+SVM,FgMDM(3 elect),0.001953125,1.5813393342482382,9
57,001-2014,57,ACM+TGSP+SVM(3 elect),FgMDM(3 elect),0.001953125,1.3154044205796898,9
58,001-2014,58,CSP+LDA,FgMDM(3 elect),0.001953125,1.5580747337841148,9
59,001-2014,59,CSP+LDA(3 elect),FgMDM(3 elect),0.810546875,-0.3198252017717149,9
60,001-2014,60,Cov+EN,FgMDM(3 elect),0.001953125,1.7515406938844125,9
61,001-2014,61,Cov+EN(3 elect),FgMDM(3 elect),0.01953125,0.6553986959210933,9
62,001-2014,62,FgMDM,FgMDM(3 elect),0.001953125,1.8284410078696394,9
63,001-2014,63,FgMDM(3 elect),FgMDM(3 elect),0.001953125,0.0,9
