,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8794292,0.8482993,0.0648911,0.0038880347,144.0,1,session_E,3,2,001-2014,Cov+EN
1,0.87448424,0.8657823,0.061826468,0.003879881,144.0,1,session_T,3,2,001-2014,Cov+EN
2,0.87876064,0.85408163,0.013837623,0.0022464753,144.0,1,session_E,3,2,001-2014,CSP+LDA
3,0.8735225,0.8564626,0.01439104,0.0023266315,144.0,1,session_T,3,2,001-2014,CSP+LDA
4,0.99891835,0.9128571,0.5566498,0.03281512,144.0,1,session_E,3,2,001-2014,AUG+TGSP+SVM
5,0.97084296,0.9317007,0.26304293,0.015765715,144.0,1,session_T,3,2,001-2014,AUG+TGSP+SVM
6,0.96162045,0.8607483,0.07770834,0.008801078,144.0,1,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,0.9665582,0.8627891,0.06881289,0.008157539,144.0,1,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,0.92135197,0.9142177,0.12327118,0.015643502,144.0,1,session_E,3,2,001-2014,AUG+CSP+LDA
9,0.9398523,0.9289796,0.06923938,0.009666395,144.0,1,session_T,3,2,001-2014,AUG+CSP+LDA
10,0.8764743,0.8470068,0.07046771,0.004428768,144.0,1,session_E,3,2,001-2014,MDM
11,0.8677087,0.8667347,0.07041311,0.0044352054,144.0,1,session_T,3,2,001-2014,MDM
12,0.8777312,0.8527891,0.102139756,0.007882166,144.0,1,session_E,3,2,001-2014,FgMDM
13,0.8772618,0.8531973,0.096247196,0.007859373,144.0,1,session_T,3,2,001-2014,FgMDM
14,0.83075494,0.74537414,0.014251185,0.0022991658,144.0,1,session_E,3,2,001-2014,Vectorize+LDA
15,0.83111477,0.7842857,0.02333722,0.0037026405,144.0,1,session_T,3,2,001-2014,Vectorize+LDA
