,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.9472558,0.937551,0.13329044,0.0071107387,144.0,8,session_E,3,2,001-2014,Cov+EN
1,0.9509773,0.9423129,0.13291106,0.0070435046,144.0,8,session_T,3,2,001-2014,Cov+EN
2,0.9423149,0.9337415,0.026789093,0.0041178702,144.0,8,session_E,3,2,001-2014,CSP+LDA
3,0.94905084,0.9442177,0.026380872,0.0040593147,144.0,8,session_T,3,2,001-2014,CSP+LDA
4,1.0,0.96489793,0.48806295,0.024263334,144.0,8,session_E,3,2,001-2014,AUG+TGSP+SVM
5,1.0,0.95462584,0.8690504,0.040442944,144.0,8,session_T,3,2,001-2014,AUG+TGSP+SVM
6,0.9600851,0.9497959,0.033404686,0.0049296855,144.0,8,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,0.96525335,0.92557824,0.06319127,0.0078475,144.0,8,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,0.9523875,0.9480272,0.078281924,0.010619735,144.0,8,session_E,3,2,001-2014,AUG+CSP+LDA
9,0.96074325,0.9516327,0.034098722,0.0050466536,144.0,8,session_T,3,2,001-2014,AUG+CSP+LDA
10,0.9341709,0.9261224,0.13121228,0.00845747,144.0,8,session_E,3,2,001-2014,MDM
11,0.92863965,0.9259864,0.13153915,0.0084450245,144.0,8,session_T,3,2,001-2014,MDM
12,0.9499666,0.9346939,0.21205053,0.016027832,144.0,8,session_E,3,2,001-2014,FgMDM
13,0.95278597,0.9452381,0.20974211,0.015749693,144.0,8,session_T,3,2,001-2014,FgMDM
14,0.9349626,0.9185034,0.025290584,0.0039281845,144.0,8,session_E,3,2,001-2014,Vectorize+LDA
15,0.8978847,0.8655102,0.029121542,0.0045574666,144.0,8,session_T,3,2,001-2014,Vectorize+LDA
